source,target,wt,h,frd,ln,hlp,frq,cnf,str
1036,1039,1,1,3,1,3,5,5,4
1037,1036,1,1,1,4,1,3,3,2
1037,1038,1,1,2,4,1,3,3,2
1037,1039,1,1,3,4,1,4,4,2
1038,1036,1,1,1,5,1,1,3,2
1038,1037,1,1,1,5,1,1,3,1
1038,1039,1,1,2,3,1,3,4,2
1038,1047,1,1,3,2,2,3,4,4
1039,1036,1,1,2,4,1,3,4,3
1039,1037,1,1,3,3,1,4,5,4
1039,1038,1,1,3,1,3,2,5,4
1039,1047,1,1,3,2,2,5,4,3
1047,1036,1,1,2,2,1,4,3,2
1047,1037,1,1,2,2,1,2,3,2
1047,1038,1,1,2,2,1,2,3,2
1047,1039,1,1,3,1,1,5,4,4
1036,1038,2,2,2,1,3,2,4,2
1036,1047,2,2,2,1,2,3,4,2
1036,1103,2,2,3,1,2,4,4,2
1036,1104,2,2,3,1,2,4,5,4
1038,1103,2,2,2,5,1,1,1,1
1047,1038,2,2,2,2,1,4,3,2
1047,1036,2,2,2,2,1,4,3,2
1047,1103,2,2,4,1,1,4,5,4
1047,1104,2,2,4,1,1,1,5,4
1103,1038,2,2,2,4,1,1,1,2
1103,1104,2,2,2,4,1,1,1,2
1103,1047,2,2,2,4,1,1,1,2
1103,1036,2,2,2,4,1,1,1,2
1104,1036,2,2,2,3,3,4,4,3
1104,1038,2,2,2,3,2,2,3,2
1104,1047,2,2,2,3,3,2,4,2
1104,1103,2,2,2,3,2,3,3,2
1157,1156,3,3,2,3,2,2,3,2
1156,1157,3,3,2,3,1,2,3,2
1157,1038,3,3,2,3,2,2,3,2
1156,1038,3,3,3,3,2,3,4,4
1038,1157,3,3,2,5,1,2,5,2
1038,1156,3,3,2,5,1,2,5,2
1038,1156,4,4,1,5,1,1,4,2
1038,1192,4,4,1,5,1,1,4,1
1156,1038,4,4,3,3,2,3,4,3
1156,1192,4,4,3,2,3,3,4,3
1192,1038,4,4,2,4,1,2,4,2
1192,1156,4,4,2,4,2,2,4,2
1227,1228,5,5,2,3,1,1,4,1
1228,1038,5,5,2,2,1,4,3,2
1229,1228,5,5,1,1,1,1,1,1
1227,1229,5,5,3,2,1,5,5,4
1228,1229,5,5,2,2,1,1,3,2
1229,1038,5,5,1,1,1,1,1,1
1227,1038,5,5,2,3,1,1,1,1
1228,1227,5,5,2,2,2,4,5,3
1229,1227,5,5,3,1,2,3,5,3
1038,1156,6,6,1,4,1,2,2,2
1156,1038,6,6,1,4,1,2,1,1
1227,1038,6,6,2,3,2,2,2,2
1228,1227,6,6,2,3,2,2,2,2
1229,1227,6,6,2,3,1,1,3,2
1227,1156,6,6,2,3,2,2,2,2
1228,1038,6,6,2,3,2,2,2,2
1229,1228,6,6,1,4,1,1,1,1
1038,1229,6,6,2,3,1,3,3,2
1156,1229,6,6,2,2,1,3,3,2
1228,1156,6,6,2,2,2,2,2,2
1229,1038,6,6,1,4,1,2,2,1
1038,1228,6,6,2,2,1,2,4,2
1156,1228,6,6,2,2,1,4,4,2
1227,1229,6,6,2,2,3,2,2,2
1038,1227,6,6,2,3,1,2,2,2
1156,1227,6,6,2,2,1,2,3,2
1227,1228,6,6,2,2,2,2,2,2
1228,1229,6,6,2,4,2,1,1,1
1229,1156,6,6,2,3,1,2,2,2
1038,1156,7,7,2,2,3,2,2,2
1156,1038,7,7,2,5,2,2,2,1
1228,1229,7,7,2,5,2,3,2,2
1229,1228,7,7,2,3,2,1,2,2
1038,1229,7,7,2,2,2,3,3,2
1156,1229,7,7,2,5,1,2,2,2
1228,1038,7,7,2,4,2,3,3,2
1229,1038,7,7,2,3,2,3,3,2
1038,1228,7,7,2,2,2,4,2,2
1156,1228,7,7,2,5,2,2,2,2
1228,1156,7,7,2,5,3,3,2,2
1229,1156,7,7,2,3,2,2,1,2
